metrics_relpath,method,dataset,dimensionality,sampling_mode,k_input,n_context_samples,n_preds,psnr,ssim,mse,psnr_roi,ssim_roi,mse_roi,fa_mae,md_mae,ad_mae,rd_mae
baselines/mppca/dbrain/metrics.json,mppca,dbrain,,,,,,22.58977407594213,0.4350408613681793,0.005508362781256437,28.444853230039154,0.5209640264511108,0.0014305883449654815,0.08983691484687088,4650.243153686126,11333.01575502966,1332.1041649577764
baselines/mppca/dbrain_sigma_050/metrics.json,mppca,dbrain,,,,,,29.560925098014646,0.5169733166694641,0.0011063881684094667,33.33379615931327,0.6023751497268677,0.00046410943675661344,0.10089196563635124,4443.208478073361,10868.56757491024,1391.856281970397
baselines/mppca/dbrain_sigma_100/metrics.json,mppca,dbrain,,,,,,22.58977407594213,0.4350408613681793,0.005508362781256437,28.444853230039154,0.5209640264511108,0.0014305883449654815,0.08983691484687088,4650.243153686126,11333.01575502966,1332.1041649577764
baselines/mppca/dbrain_sigma_150/metrics.json,mppca,dbrain,,,,,,19.45141530557575,0.3968195915222168,0.011346409097313881,25.54306317917261,0.4779234826564789,0.0027905748406148946,0.09780135185131092,4657.3489277934395,11354.372759668946,1341.2002381631405
baselines/mppca/dbrain_sigma_200/metrics.json,mppca,dbrain,,,,,,17.44460112861752,0.3647134602069855,0.01801108568906784,23.548052553731512,0.4403160810470581,0.004417684950416391,0.0863313951829382,4666.102078142642,11355.014887158877,1334.8633512436593
drcnet_hybrid_rgs/metrics/dbrain/b2500/2d_rgs_G60_K16/_subset_f0p6/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,2d,rgs,16,16,12,26.376454927357436,0.4732799530029297,0.0023033213801681995,27.10974657688663,0.5568628907203674,0.0019454735353198172,0.22963792663578744,3435.424038054232,8271.235215810948,1055.372602760375
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K10/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,10,16,12,24.520443848963932,0.4448789954185486,0.003531470661982894,26.455310887445904,0.5286549925804138,0.0022618766562809756,0.23781481659535594,3457.1353812874613,8320.404549312334,1038.1112231160473
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.05/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,26.062346067234685,0.4686179459095001,0.0024760840460658073,29.75842643433182,0.5552027821540833,0.0010572004627076616,0.25794121136365067,3445.8166480637415,8285.035230295642,1031.0613748619182
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,48,20,5.372146623147881,-0.10002398490905762,0.2902587354183197,9.537992285675944,-0.12259344756603241,0.11122457228897219,0.26059256221857197,3538.7561785884136,8510.879972236493,1068.82837483306
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.15/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,22.034082520367832,0.40930208563804626,0.00626025116071105,25.106799288993177,0.4900795519351959,0.003085460650766023,0.22020720845523808,3430.9490659923863,8257.378420556259,1084.8659379764722
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K16/noise_rician_sigma_0.2/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,16,16,12,22.740389616650013,0.40622571110725403,0.00532060582190752,23.520540589863867,0.4841853380203247,0.00444575903595138,0.22109861464152444,3436.710255194849,8243.570938101046,1146.807945488708
drcnet_hybrid_rgs/metrics/dbrain/b2500/rgs_G60_K24/noise_rician_sigma_0.1/learning_rate_0.00045/metrics.json,drcnet_hybrid_rgs,dbrain,,rgs,24,16,12,23.91743312818467,0.4390770494937897,0.004057482350617647,26.91727376544077,0.5233770608901978,0.0020336334460766647,0.2558563344354647,3453.1370245152066,8303.310554416787,1033.4822561218414
