dataset,architecture,status,n_context_samples,n_preds,sec_per_volume,sec_per_epoch,n_params,peak_gpu_mem_mb,psnr,psnr_roi,fa_mae,md_mae
dbrain,drcnet,success,16,12,33.35336755116781,13.434862383206685,116002,8010.208984375,13.332601332287343,14.039670885291786,0.2492524414402778,3522.351794724497
dbrain,restormer,failed,16,12,,,177883,14434.04638671875,,,,
dbrain,restormer,success,16,12,129.33019641240438,23.066715126567416,177883,9370.80322265625,10.075749548098694,12.550067954611778,0.24744628103097302,3510.613494639303
dbrain,drcnet,success,16,12,34.25339396397273,13.623939902914895,116002,8010.208984375,13.315145625600843,14.086082451744117,0.25751915980698964,3523.570275838559
dbrain,restormer,success,16,12,129.01195451815923,32.344422509935164,177883,11066.98681640625,10.1200256720026,12.580204718404605,0.26799018434721966,3508.6396091266565
stanford,drcnet,success,16,23,25.243621282577514,39.261850803693136,116002,8010.208984375,3.0275661400638363,3.820016614345601,,
stanford,restormer,success,16,23,84.01856551011403,18.771997826099394,177883,11065.98681640625,26.994110182371877,26.049107993868198,,
dbrain,drcnet,success,16,12,3.7615772247314454,14.14912919667032,116002,8010.208984375,20.775831404961874,23.595192405464537,0.23897613292220632,3554.994260197512
dbrain,drcnet,success,16,12,34.09905305703481,11.855093833605448,116002,8010.208984375,23.82662177012053,25.830433001808224,0.2605358984891552,3408.3326151207903
dbrain,restormer,success,16,12,,0.05170828170246548,177883,333.77783203125,,,,
dbrain,drcnet,success,16,12,,,116002,8010.208984375,,,,
dbrain,drcnet,success,16,12,33.95232694149017,0.0547373268339369,116002,5694.45458984375,23.927435757817896,26.881508864102553,0.25867803829733416,3449.381679215821
dbrain,restormer,success,16,12,126.18572642803193,0.05016904142167833,177883,2508.0302734375,22.83465715079112,23.220328784251745,0.23783382161769012,3454.5803513642377
dbrain,drcnet,success,16,12,33.98549627463023,0.05933826764424642,116002,5694.45458984375,21.373888524897637,22.91501767021599,0.2387364470985009,3683.8319055309316
dbrain,restormer,success,16,12,125.32312409877777,0.050097954273223874,177883,2508.0302734375,21.56901502546789,22.60111075072483,0.23742475208694824,3713.4108672665106
stanford,drcnet,success,16,23,24.861570574442545,0.002013360659281413,116002,2557.44140625,39.797198450267985,38.072058604526006,,
stanford,restormer,success,16,23,81.81291867574056,0.012396280500623915,177883,2352.34033203125,27.02339659482652,26.077141784049033,,
dbrain,drcnet,success,16,12,3.732595117886861,0.051205221149656505,116002,5688.45458984375,20.775831404961874,23.595192405464537,0.23897613292220632,3554.994260197512
dbrain,drcnet,success,16,12,33.69861729939779,0.01653578281402588,116002,5695.84228515625,23.9105250772746,26.909391985326604,0.23838349669328665,3457.4382232142348
dbrain,restormer,success,16,12,104.16276465257009,0.049377255969577365,177883,333.77783203125,20.493329723242315,21.63970371807702,0.24649154022638453,3555.8441982392615
dbrain,restormer,success,16,12,127.05570607980093,28.064260896046957,177883,11066.98681640625,20.338075094457526,23.101297818173677,0.2212128204013198,3449.2027503737013
dbrain,drcnet,success,16,12,4.678290593624115,2.2522858997186024,14241,2814.49853515625,26.376454927357436,27.10974657688663,0.22963792663578744,3435.424038054232
dbrain,restormer,success,16,5,3.8741377353668214,3.233328504694833,14916,2922.56640625,25.95576705630288,26.435479317870527,0.23089542686915684,3431.8664524984115
dbrain,drcnet,success,16,12,32.497612635294594,11.5856366859542,106498,7746.08251953125,24.621140820725913,26.461315080548577,0.23192430485822493,3456.860731858904
dbrain,drcnet,success,16,12,33.78827036619187,12.809387792481317,110818,7866.140625,24.520443848963932,26.455310887445904,0.23781481659535594,3457.1353812874613
dbrain,drcnet,success,16,12,34.98390647172928,0.05180460015932719,116002,5694.45458984375,23.877763415238267,26.909494430805296,0.2588367801446945,3446.700978487122
dbrain,drcnet,success,16,12,36.05803514321645,15.042780550983217,122914,8202.30126953125,23.91743312818467,26.91727376544077,0.2558563344354647,3453.1370245152066
dbrain,drcnet,success,16,12,37.22303586006164,16.01200068394343,128098,8346.37158203125,24.56937006678318,26.360985214657155,0.24642260783309136,3461.903266003329
stanford,drcnet,success,16,23,23.47860428015391,33.00090140952004,106498,7746.08251953125,36.58152090938161,34.85572113030315,,
stanford,drcnet,success,16,23,25.250876563390097,36.050877336661024,110818,7866.140625,38.71058012261144,36.98587928720358,,
stanford,drcnet,success,16,23,25.50726097901662,0.002002558708190918,116002,2557.44140625,39.79289809636922,38.06775354242663,,
stanford,drcnet,success,16,23,26.26674877643585,42.40371123101976,122914,8202.30126953125,41.19796457191302,39.47361679701912,,
stanford,drcnet,success,16,23,27.9920613861084,45.19543496158388,128098,8346.37158203125,36.90160389201321,35.176198422005584,,
dbrain,restormer,success,16,12,129.17592064936954,30.364251849386427,174319,10936.31396484375,22.955187272939025,25.88352194205107,0.2489461338430444,3459.3428814810377
dbrain,restormer,success,16,12,129.20530234575273,31.102879995769925,175939,10996.3359375,22.496801168834402,26.604739778980857,0.21953578497120693,3412.9480202524633
dbrain,restormer,success,16,12,128.46140738725663,0.049109949005974665,177883,2508.0302734375,22.80842707259373,23.145353569773746,0.2240528791431676,3443.4929029775362
dbrain,restormer,success,16,12,130.23061606486638,33.60215058128039,180475,11164.39599609375,22.930214262131912,25.830544763733975,0.21976362750840003,3411.6958809682314
dbrain,restormer,success,16,12,131.87320437431336,34.99089771045579,182419,11236.42138671875,23.717161186921004,25.500531970038438,0.21993288602191818,3432.9324883289473
stanford,restormer,success,16,23,83.74937417348225,17.41764675537745,174319,10936.31396484375,24.453756403416303,23.786857700791238,,
stanford,restormer,success,16,23,84.36663606802622,17.90406324889925,175939,10995.8359375,27.39531507322114,26.603743747031054,,
stanford,restormer,success,16,23,84.75064846197765,0.012963015503353542,177883,2352.34033203125,27.07233971404877,26.11966031001812,,
stanford,restormer,success,16,23,84.69302590847015,19.670868170791202,180475,11164.39599609375,26.52404529757685,25.645537055293172,,
stanford,restormer,success,16,23,85.0536956055959,20.388888535764483,182419,11236.42138671875,28.198150227635715,27.08132294409434,,
dbrain,drcnet,success,16,12,34.1015173514684,0.052514262331856625,116002,5694.45458984375,25.17696919922262,26.76658562602335,0.2389482637101434,3452.1725524092167
dbrain,drcnet,success,16,12,34.04143994649251,0.05339272022247314,116002,5694.45458984375,24.628856552937535,26.851629385314126,0.2509646895261219,3451.230914637344
dbrain,drcnet,success,16,12,34.06680788199107,0.05269186629189385,116002,5694.45458984375,23.913419980239876,26.92276100035038,0.2596531298275796,3437.707049910941
dbrain,drcnet,success,16,12,34.01797482172648,0.05279659761322869,116002,5694.45458984375,22.563344728379235,26.13506760702313,0.23195463705893116,3462.4910780059654
dbrain,drcnet,success,16,12,34.03302852710088,0.05219437215063307,116002,5694.45458984375,19.41422835146232,21.011688353589953,0.2604694815679899,3438.1543246079946
stanford,drcnet,success,16,23,25.079566521644594,0.0020773254500495064,116002,2557.44140625,39.5294866211562,37.80532526739276,,
stanford,drcnet,success,16,23,25.027008180618285,0.002003326680925157,116002,2557.44140625,39.82279363851333,38.09819567335853,,
stanford,drcnet,success,16,23,25.02506828625997,0.002101127571529812,116002,2557.44140625,39.795583862048936,38.0704392842327,,
stanford,drcnet,success,16,23,24.993996481895447,0.0020265875922309026,116002,2557.44140625,38.90884770317751,37.18293587648047,,
stanford,drcnet,success,16,23,24.964178490638734,0.0019905357890658906,116002,2557.44140625,37.03642897697427,35.31053508593545,,
dbrain,restormer,success,16,12,125.56473009586334,0.04899711012840271,177883,2508.0302734375,22.572231213077224,20.53525322095847,0.2200385970861199,3428.880974412792
dbrain,restormer,success,16,12,125.76917890310287,0.04965322812398275,177883,2508.0302734375,22.849678043723557,22.042990813823767,0.2292683528835186,3450.4681098902556
dbrain,restormer,success,16,12,125.87062968413035,0.04931717912356059,177883,2508.0302734375,22.76752197842919,23.173713521096467,0.218674109031161,3415.8736387151785
dbrain,restormer,success,16,12,126.01090866327286,0.04890951845380995,177883,2508.0302734375,21.34666749193513,24.546899761286323,0.21980526616209198,3454.2077341701965
dbrain,restormer,success,16,12,126.135870830218,0.049479995171229044,177883,2508.0302734375,15.962352986441033,23.575129134217555,0.22474928851827647,3469.6707212388183
stanford,restormer,success,16,23,82.44375488599141,0.012197090519799126,177883,2352.34033203125,26.66785730299214,25.480515201392578,,
stanford,restormer,success,16,23,82.43069012959798,0.0125328352716234,177883,2352.34033203125,26.69876071366955,25.57478339933883,,
stanford,restormer,success,16,23,82.542036652565,0.012133189042409261,177883,2352.34033203125,27.050805103499723,26.102425459471323,,
stanford,restormer,success,16,23,82.59443956375122,0.012280893855624728,177883,2352.34033203125,26.379533803127103,26.044577369530508,,
stanford,restormer,success,16,23,82.4685664097468,0.012125341627332899,177883,2352.34033203125,22.758760811199494,23.20141737744946,,
dbrain,drcnet,success,1,12,4.379887783527375,0.05119013057814704,116002,5694.45458984375,22.759099658630596,26.28727347324417,0.2420718277007109,3455.2648227476875
dbrain,drcnet,success,3,12,8.271416453520457,0.05155554016431173,116002,5694.45458984375,23.449709152059356,26.692954520688872,0.2596251086816519,3422.7893827888843
dbrain,drcnet,success,5,12,12.207149962584177,0.05140920215182834,116002,5694.45458984375,23.77212158580803,26.749412210060058,0.22150529940527877,3433.748087201463
dbrain,drcnet,success,12,12,26.010360097885133,0.051424090729819405,116002,5694.45458984375,23.770913733022056,26.919909146324375,0.25794337907466486,3447.154238352844
dbrain,drcnet,success,24,12,49.703573775291446,0.052140510744518705,116002,5694.45458984375,24.005883279892014,26.949373443310215,0.2550941298634179,3451.051913618403
dbrain,drcnet,success,48,12,96.74546440045039,0.051382807228300305,116002,5694.45458984375,24.023276731782552,26.91931834673412,0.2581920874246802,3446.671509135799
